model,question,hallucination,accuracy,relevance,retreival quality
base,0,4,4,5,1
base,1,5,0,1,1
base,2,4,4,5,1
base,3,4,4,5,1
base,4,4,4,5,1
base,5,4,4,5,1
base,6,4,4,5,1
base,7,4,4,5,1
base,8,4,4,5,1
base,9,5,0,1,1
base,10,4,4,5,1
base,11,4,4,5,1
base,12,4,4,5,1
base,13,4,4,5,1
base,14,4,4,5,1
base,15,4,4,5,1
base,16,4,4,5,1
base,17,4,4,5,1
base,18,4,4,5,1
base,19,5,0,1,1
base,20,5,0,1,1
base,21,4,4,5,1
base,22,4,4,5,1
base,23,4,4,5,1
base,24,4,4,5,1
base,25,5,0,1,1
base,26,4,4,5,1
base,27,4,4,5,1
base,28,4,4,5,1
base,29,4,4,5,1
base,30,5,0,1,1
base,31,5,0,1,1
base,32,5,0,1,1
base,33,5,0,1,1
base,34,5,0,1,1
base,35,4,4,5,1
base,36,4,4,5,1
base,37,5,0,1,1
base,38,5,0,1,1
base,39,5,0,1,1
base,40,5,0,1,1
base,41,4,4,5,1
base,42,1,1,1,1
base,43,1,1,1,1
base,44,1,1,1,1
base,45,1,1,1,1
base,46,1,1,1,1
base,47,1,1,1,1
base,48,5,0,1,1
base,49,5,0,1,1
base,50,4,4,5,1
base,51,4,4,5,1
base,52,5,0,1,1
base,53,5,0,1,1
d,0,5,0,1,1
d,1,4,4,5,4
d,2,4,4,5,4
d,3,4,4,5,4
d,4,5,0,1,1
d,5,4,4,5,4
d,6,4,4,5,4
d,7,4,4,5,4
d,8,4,4,5,4
d,9,4,4,5,4
d,10,4,4,5,4
d,11,4,4,5,4
d,12,4,4,5,4
d,13,4,4,5,4
d,14,4,4,5,4
d,15,4,4,5,4
d,16,4,4,5,4
d,17,4,4,5,4
d,18,4,4,5,4
d,19,4,4,5,4
d,20,4,4,5,4
d,21,4,4,5,4
d,22,4,4,5,4
d,23,4,4,5,4
d,24,4,4,5,4
d,25,4,4,5,4
d,26,4,4,5,4
d,27,4,4,5,4
d,28,4,4,5,4
d,29,4,4,5,4
d,30,4,4,5,4
d,31,4,4,5,4
d,32,4,4,5,4
d,33,4,4,5,4
d,34,4,4,5,4
d,35,4,4,5,4
d,36,4,4,5,4
d,37,4,4,5,4
d,38,4,4,5,4
d,39,5,0,1,1
d,40,4,4,5,4
d,41,4,4,5,4
d,42,1,1,1,1
d,43,1,1,1,1
d,44,1,1,1,1
d,45,1,1,1,1
d,46,1,1,1,1
d,47,1,1,1,1
d,48,4,4,5,4
d,49,5,0,1,1
d,50,4,4,5,4
d,51,5,0,1,1
d,52,4,4,5,4
d,53,5,0,1,1
i,0,5,0,1,1
i,1,4,4,5,4
i,2,4,4,5,4
i,3,4,4,5,4
i,4,4,4,5,4
i,5,4,4,5,4
i,6,4,4,5,4
i,7,4,4,5,4
i,8,4,4,5,4
i,9,4,4,5,4
i,10,4,4,5,4
i,11,4,4,5,4
i,12,4,4,5,4
i,13,4,4,5,4
i,14,4,4,5,4
i,15,4,4,5,4
i,16,4,4,5,4
i,17,4,4,5,4
i,18,4,4,5,4
i,19,4,4,5,4
i,20,5,0,1,1
i,21,4,4,5,4
i,22,4,4,5,4
i,23,4,4,5,4
i,24,4,4,5,4
i,25,4,4,5,4
i,26,4,4,5,4
i,27,4,4,5,4
i,28,4,4,5,4
i,29,4,4,5,4
i,30,4,4,5,4
i,31,4,4,5,4
i,32,4,4,5,4
i,33,4,4,5,4
i,34,4,4,5,4
i,35,4,4,5,4
i,36,4,4,5,4
i,37,4,4,5,4
i,38,4,4,5,4
i,39,4,4,5,4
i,40,4,4,5,4
i,41,4,4,5,4
i,42,1,1,1,1
i,43,1,1,1,1
i,44,1,1,1,1
i,45,1,1,1,1
i,46,1,1,1,1
i,47,1,1,1,1
i,48,4,4,5,4
i,49,5,0,1,1
i,50,5,0,1,1
i,51,5,0,1,1
i,52,4,4,5,4
i,53,5,0,1,1
l,0,4,4,5,4
l,1,4,4,5,4
l,2,4,4,5,4
l,3,4,4,5,4
l,4,4,4,5,4
l,5,4,4,5,4
l,6,5,0,1,1
l,7,4,4,5,4
l,8,4,4,5,4
l,9,5,0,1,1
l,10,4,4,5,4
l,11,4,4,5,4
l,12,4,4,5,4
l,13,4,4,5,4
l,14,4,4,5,4
l,15,4,4,5,4
l,16,4,4,5,4
l,17,4,4,5,4
l,18,4,4,5,4
l,19,4,4,5,4
l,20,4,4,5,4
l,21,4,4,5,4
l,22,4,4,5,4
l,23,4,4,5,4
l,24,4,4,5,4
l,25,4,4,5,4
l,26,4,4,5,4
l,27,4,4,5,4
l,28,4,4,5,4
l,29,4,4,5,4
l,30,4,4,5,4
l,31,5,0,1,1
l,32,4,4,5,4
l,33,5,0,1,1
l,34,4,4,5,4
l,35,4,4,5,4
l,36,4,4,5,4
l,37,4,4,5,4
l,38,4,4,5,4
l,39,5,0,1,1
l,40,4,4,5,4
l,41,4,4,5,4
l,42,1,1,1,1
l,43,1,1,1,1
l,44,1,1,1,1
l,45,1,1,1,1
l,46,1,1,1,1
l,47,1,1,1,1
l,48,4,4,5,4
l,49,5,0,1,1
l,50,5,0,1,1
l,51,5,0,1,1
l,52,5,0,1,1
l,53,5,0,1,1
n,0,4,4,5,4
n,1,4,4,5,4
n,2,4,4,5,4
n,3,4,4,5,4
n,4,4,4,5,4
n,5,4,4,5,4
n,6,4,4,5,4
n,7,4,4,5,4
n,8,4,4,5,4
n,9,4,4,5,4
n,10,4,4,5,4
n,11,4,4,5,4
n,12,4,4,5,4
n,13,4,4,5,4
n,14,4,4,5,4
n,15,4,4,5,4
n,16,4,4,5,4
n,17,4,4,5,4
n,18,5,0,1,1
n,19,4,4,5,4
n,20,4,4,5,4
n,21,4,4,5,4
n,22,4,4,5,4
n,23,4,4,5,4
n,24,4,4,5,4
n,25,4,4,5,4
n,26,4,4,5,4
n,27,4,4,5,4
n,28,4,4,5,4
n,29,4,4,5,4
n,30,4,4,5,4
n,31,4,4,5,4
n,32,4,4,5,4
n,33,4,4,5,4
n,34,4,4,5,4
n,35,4,4,5,4
n,36,4,4,5,4
n,37,4,4,5,4
n,38,4,4,5,4
n,39,4,4,5,4
n,40,4,4,5,4
n,41,4,4,5,4
n,42,1,1,1,1
n,43,1,1,1,1
n,44,1,1,1,1
