question,company,category,level,location,answer
What was Microsoft's total revenue for fiscal year 2024?,Microsoft,Financial,Easy,"Income Statements, Page 56",$245.122 billion.
"How much long-term debt did Microsoft report on its balance sheet as of June 30, 2024?",Microsoft,Financial,Easy,"Balance Sheets, Page 57",$42.688 billion.
What was Amazon's net income for fiscal year 2024?,Amazon,Financial,Easy,"Consolidated Statements of Operations, Page 37",$59.248 billion (approximately $59.2 billion).
What was Amazon's total net sales for fiscal year 2024?,Amazon,Financial,Easy,"Consolidated Statements of Operations, Page 37",$637.959 billion
How much cash and cash equivalents did Alphabet report at year-end 2024?,Alphabet,Financial,Easy,"Consolidated Balance Sheets, Page 53",$23.466 billion
What was Microsoft's diluted earnings per share (EPS) for fiscal year 2024?,Microsoft,Financial,Advanced,"Income Statements, Page 80",$11.80
Analyze Microsoft's cash flow from operations change from fiscal year 2023 ($87.6 billion) to fiscal year 2024 ($118.5 billion). What were the primary drivers?,Microsoft,Financial,Advanced,"Cash Flow Statements, Page 58; MD&A -- Liquidity and Capital Resources, Page 47--50","The increase of approximately $31 billion (a 35% rise) was primarily driven by an increase in cash received from customers, reflecting the 16% revenue growth across all three segments. Key contributors included the continued shift to subscription and cloud-based services (Office 365, Azure, Dynamics 365), which generate predictable recurring cash flows. The acquisition of Activision Blizzard in October 2023 added Gaming revenue, contributing to higher cash collections in fiscal year 2024. Non-cash adjustments for depreciation and amortization also increased significantly as Microsoft expanded its data center infrastructure to support cloud and AI workloads. Working capital improvements, including higher unearned revenue ($60.2 billion as of June 30, 2024, up from $53.8 billion), reflected advance payments for cloud contracts."
"Compare the operating margins of Microsoft's three segments (Productivity and Business Processes, Intelligent Cloud, and More Personal Computing) for fiscal year 2024. Which is the most profitable on a margin basis?",Microsoft,Financial,Advanced,"Segment Results of Operations, Page 44; Note 19, Page 92","Productivity and Business Processes: Revenue: $77.7B | Operating Income: $40.5B | Operating Margin: ~52.1%. Intelligent Cloud: Revenue: $105.4B | Operating Income: $49.6B | Operating Margin: ~47.0%. More Personal Computing: Revenue: $62.0B | Operating Income: $19.3B | Operating Margin: ~31.1%. Productivity and Business Processes had the highest operating margin at approximately 52%, reflecting the high-margin nature of SaaS subscriptions (Office 365, Dynamics 365) and LinkedIn. Intelligent Cloud's margin was somewhat lower (47%) because Azure's rapid growth requires massive capital investment in data centers and AI infrastructure, and a sales mix shift toward Azure (which has lower margins than on-premises server products). More Personal Computing had the lowest margin (31%), dragged down by lower-margin hardware businesses (Devices, Xbox consoles) even though Xbox content and services grew 50%."
What is the significance of Alphabet's $23.466 billion in cash and cash equivalents versus its total cash position including marketable securities? Why is the distinction important?,Alphabet,Financial,Advanced,"Alphabet Consolidated Balance Sheets, Page 53; Liquidity discussion, Page 42--43","While cash and cash equivalents were $23.466 billion, Alphabet's total liquidity position (including short-term and long-term marketable securities) was substantially larger. The total cash, cash equivalents, and short-term marketable securities figure provides a more accurate picture of the company's available liquidity. The distinction matters because cash equivalents are highly liquid instruments with maturities of three months or less, while marketable securities may include bonds and other investments that require selling before they can be used. For investors assessing financial health, the total liquidity figure is more relevant for understanding Alphabet's capacity to fund capital expenditures (which increased sharply for AI infrastructure), share buybacks, and potential acquisitions. The relatively modest cash-and-equivalents figure compared to total liquidity suggests Alphabet manages its treasury actively, investing excess cash into higher-yielding securities rather than holding idle cash."
"Examine how Microsoft's total assets grew from $411.976 billion (June 30, 2023) to $512.163 billion (June 30, 2024). What were the largest asset-category drivers of this increase?",Microsoft,Financial,Advanced,"Balance Sheets, Page 57; Note 8 -- Business Combinations","Total assets increased by approximately $100.2 billion year-over-year, a 24% increase. Goodwill: Increased from $67.9B to $119.2B (+$51.3B), driven almost entirely by the $68.7 billion acquisition of Activision Blizzard. Property and Equipment (net): Grew from $95.6B to $135.6B (+$40.0B), reflecting massive capital expenditure on data centers for Azure and AI infrastructure. Intangible Assets (net): Increased from $9.4B to $27.6B (+$18.2B), also primarily attributable to Activision Blizzard's gaming IP, marketing-related, and technology-based intangibles. These increases were partially offset by a decrease in total cash, cash equivalents, and short-term investments from $111.3B to $75.5B (-$35.8B), as Microsoft deployed liquidity toward the Activision acquisition and capital spending."
